"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44828850","313.83","Academic underachievement disorder of childhood or adolescence","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1595688","Q93.51","Angelman syndrome","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207257","F84.5","Asperger's syndrome","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411112","F84.5","Asperger syndrome","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45576562","F84.5","Asperger syndrome","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411113","F84.500","Asperger syndrome","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44821835","314.0","Attention deficit disorder of childhood","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44822997","314.01","Attention deficit disorder with hyperactivity","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44829951","314.00","Attention deficit disorder without mention of hyperactivity","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45552506","F90.2","Attention-deficit hyperactivity disorder, combined type","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207264","F90.8","Attention-deficit hyperactivity disorder, other type","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207263","F90.1","Attention-deficit hyperactivity disorder, predominantly hyperactive type","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207262","F90.0","Attention-deficit hyperactivity disorder, predominantly inattentive type","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1568263","F90","Attention-deficit hyperactivity disorders","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207265","F90.9","Attention-deficit hyperactivity disorder, unspecified type","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411104","F84.100","Atypical autism","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45595923","F84.1","Atypical autism","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411103","F84.1","Atypical autism","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207254","F84.0","Autistic disorder","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44827659","299.0","Autistic disorder","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44819543","299.00","Autistic disorder, current or active state","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44825295","299.01","Autistic disorder, residual state","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411101","F84.001","Baby autism (machine translation)","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45582709","R41.83","Borderline intellectual functioning","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411099","F84.0","Childhood autism","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411100","F84.000","Childhood autism","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45581475","F84.0","Childhood autism","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44835789","299.1","Childhood disintegrative disorder","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44825296","299.10","Childhood disintegrative disorder, current or active state","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44821822","299.11","Childhood disintegrative disorder, residual state","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45566857","F94.9","Childhood disorder of social functioning, unspecified","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411174","F94.900","Childhood disorder of social functioning, unspecified","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207279","F94.9","Childhood disorder of social functioning, unspecified","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411173","F94.9","Childhood disorder of social functioning, unspecified","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411179","F95.100","Chronic motor or vocal tic disorder","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207281","F95.1","Chronic motor or vocal tic disorder","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45600766","F95.1","Chronic motor or vocal tic disorder","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411178","F95.1","Chronic motor or vocal tic disorder","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44834607","307.22","Chronic motor or vocal tic disorder","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411180","F95.101","Chronic motor tic disorder (machine translation)","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45571782","F95.2","Combined vocal and multiple motor tic disorder [de la Tourette]","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411182","F95.200","Combined vocal and multiple motor tic disorder [de la Tourette]","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411181","F95.2","Combined vocal and multiple motor tic disorder [de la Tourette]","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411119","F88.x01","Developmental agnosia (machine translation)","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44826530","315.4","Developmental coordination disorder","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207252","F81.9","Developmental disorder of scholastic skills, unspecified","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45581474","F81.9","Developmental disorder of scholastic skills, unspecified","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411092","F81.9","Developmental disorder of scholastic skills, unspecified","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411093","F81.900","Developmental disorder of scholastic skills, unspecified","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44821837","315.0","Developmental reading disorder","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44825317","315.00","Developmental reading disorder, unspecified","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1568266","F94","Disorders of social functioning with onset specific to childhood and adolescence","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45576564","F94","Disorders of social functioning with onset specific to childhood and adolescence","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411164","F94","Disorders of social functioning with onset specific to childhood and adolescence","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44823417","759.83","Fragile X syndrome","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44821836","314.1","Hyperkinesis with developmental delay","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44825316","314","Hyperkinetic syndrome of childhood","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44819563","313.22","Introverted disorder of childhood","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45533039","E72.03","Lowe's syndrome","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411065","F79.901","low IQ (machine translation)","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44824140","315.1","Mathematics disorder","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207251","F81.2","Mathematics disorder","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44828852","317","Mild intellectual disabilities","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207238","F70","Mild intellectual disabilities","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45538082","F70","Mild mental retardation","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411035","F70","Mild mental retardation","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45571775","F70.8","Mild mental retardation, Other impairments of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411038","F70.800","Mild mental retardation, Other impairments of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411037","F70.100","Mild mental retardation, Significant impairment of behaviour requiring attention or treatment","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45552501","F70.1","Mild mental retardation, Significant impairment of behaviour requiring attention or treatment","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45552502","F70.9","Mild mental retardation, Without mention of impairment of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411039","F70.900","Mild mental retardation, Without mention of impairment of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45595920","F70.0","Mild mental retardation, With the statement of no, or minimal, impairment of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411036","F70.000","Mild mental retardation, With the statement of no, or minimal, impairment of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411090","F81.300","Mixed disorder of scholastic skills","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45605515","F81.3","Mixed disorder of scholastic skills","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411089","F81.3","Mixed disorder of scholastic skills","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44825319","318.0","Moderate intellectual disabilities","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207239","F71","Moderate intellectual disabilities","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45586256","F71","Moderate mental retardation","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411040","F71","Moderate mental retardation","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411043","F71.800","Moderate mental retardation, other impairments of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45581470","F71.8","Moderate mental retardation, other impairments of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45533122","F71.1","Moderate mental retardation, significant impairment of behaviour requiring attention or treatment","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411042","F71.100","Moderate mental retardation, significant impairment of behaviour requiring attention or treatment","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411044","F71.900","Moderate mental retardation, without mention of impairment of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45538084","F71.9","Moderate mental retardation, without mention of impairment of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45576559","F71.0","Moderate mental retardation, with the statement of no, or minimal, impairment of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411041","F71.000","Moderate mental retardation, with the statement of no, or minimal, impairment of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1568268","F98","Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45547724","F98","Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411189","F98","Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207256","F84.3","Other childhood disintegrative disorder","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411107","F84.3","Other childhood disintegrative disorder","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45542869","F84.3","Other childhood disintegrative disorder","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411108","F84.300","Other childhood disintegrative disorder","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45586266","F94.8","Other childhood disorders of social functioning","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411171","F94.8","Other childhood disorders of social functioning","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207278","F94.8","Other childhood disorders of social functioning","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411172","F94.800","Other childhood disorders of social functioning","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1410965","F81.800","Other developmental disorders of scholastic skills","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411091","F81.8","Other developmental disorders of scholastic skills","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45542868","F81.8","Other developmental disorders of scholastic skills","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45538087","F88","Other disorders of psychological development","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411118","F88","Other disorders of psychological development","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207260","F88","Other disorders of psychological development","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207242","F78","Other intellectual disabilities","Condition","ICD10CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411055","F78","Other mental retardation","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45581471","F78","Other mental retardation","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45538085","F78.8","Other mental retardation, other impairments of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411058","F78.800","Other mental retardation, other impairments of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45547721","F78.1","Other mental retardation, significant impairment of behaviour requiring attention or treatment","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411057","F78.100","Other mental retardation, significant impairment of behaviour requiring attention or treatment","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411059","F78.900","Other mental retardation, without mention of impairment of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45576560","F78.9","Other mental retardation, without mention of impairment of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","1411056","F78.000","Other mental retardation, with the statement of no, or minimal, impairment of behaviour","Condition","ICD10CN","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45591153","F78.0","Other mental retardation, with the statement of no, or minimal, impairment of behaviour","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","44831114","313.8","Other or mixed emotional disturbances of childhood or adolescence","Condition","ICD9CM","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","45571780","F84.8","Other pervasive developmental disorders","Condition","ICD10","N","false","false","false"
"217","Neurodevelopmental Disorders (SNOMED & ICD)","35207258","F84.8","Other pervasive developmental disorders","Condition","ICD10CM","N","false","false","false"
